country,year,tumor_deaths,digestive_deaths,tumor_rank
蒙古,2001,2975.7799806105313,1050.3014162273198,2.0
西班牙,2001,105633.56249244888,19555.409053799332,2.0
贝宁,2001,2184.243017839153,2377.6642818717673,12.0
赞比亚,2001,5105.249632753554,4316.373589170101,8.0
赤道几内亚,2001,323.13212815284845,165.7421384626892,9.0
越南,2001,51023.02174177655,22843.92554936492,2.0
阿塞拜疆,2001,6894.4508128677235,3137.8287714838934,2.0
阿富汗,2001,5660.06926873242,2153.4114962122417,9.0
阿尔及利亚,2001,10407.692715077794,6954.415076840529,3.0
阿尔巴尼亚,2001,2986.823916224079,403.77529551105977,2.0
阿拉伯叙利亚共和国,2001,5889.296123306998,2087.4288959621217,2.0
阿拉伯联合酋长国,2001,1251.5079644236173,259.6464784765482,2.0
阿曼,2001,727.0871005588357,240.48494986727707,3.0
阿根廷,2001,69127.56326963581,12172.544445168509,2.0
马尔他,2001,786.0337726652648,97.9308292101771,2.0
马尔代夫,2001,106.94935510857701,44.89587690945371,4.0
马拉维,2001,7471.818392716008,3575.3070717047785,8.0
马来西亚,2001,15773.65673024034,6230.683140440896,2.0
马绍尔群岛,2001,29.544437406689152,14.370760809663643,4.0
马达加斯加,2001,10915.82030081257,5340.558107993747,6.0
马里,2001,5482.23562243435,4044.735171527919,8.0
黎巴嫩,2001,2341.3757291125544,877.3391369337533,2.0
黑山共和国,2001,1250.3118101698694,153.89082168065192,2.0
不丹,2002,318.10822215662216,329.1781440778246,7.0
东帝汶民主共和国,2002,374.49849208441617,290.53782229789897,5.0
中国,2002,2032445.1360589354,300059.92074204725,2.0
中非共和国,2002,1576.6787752340501,1281.2753819189447,9.0
丹麦,2002,17269.539524038424,2945.1910071668235,2.0
乌克兰,2002,102042.94008217496,29801.080313303166,2.0
乌兹别克斯坦,2002,12506.481038041462,9848.664798696145,3.0
乌干达,2002,16329.897488332832,5665.153766717222,8.0
乌拉圭,2002,8974.704056904138,1346.800545413539,2.0
乍得,2002,3725.7199386802804,3741.977612622679,10.0
也门,2002,6235.977198766363,4081.0950942417394,6.0
亚美尼亚,2002,4940.286578320234,1440.0085010482512,2.0
以色列,2002,10763.7917279051,1492.2775515227497,2.0
伊拉克,2002,13213.766806043897,3349.428573479666,3.0
伊朗伊斯兰共和国,2002,44026.01828545548,9910.011530289097,2.0
伯利兹城,2002,170.23698168691797,59.39029908955758,2.0
佛得角,2002,313.0584363797804,107.88215185408997,2.0
俄罗斯,2002,307368.3587280336,79579.02908930382,2.0
保加利亚,2002,18538.160122133962,3044.4703132196846,2.0
克罗地亚,2002,13160.400064289037,2504.634816440271,2.0
关岛,2002,109.58611962683996,28.616989105500192,2.0
冈比亚,2002,288.5463993750968,395.74316573738946,12.0
冰岛,2002,528.3154514878872,52.71426804035078,2.0
几内亚,2002,4156.677077097606,3850.7429794201457,8.0
几内亚比绍,2002,416.3387210999677,531.8018972480377,11.0
刚果,2002,1408.076769930311,1001.0201053552134,8.0
刚果民主共和国,2002,25737.399477858402,14067.458309764552,9.0
利比亚,2002,2834.6661761497962,1013.6638725849416,2.0
利比里亚,2002,1419.1620815631595,1162.4638312447264,9.0
加拿大,2002,70657.49471559892,8808.693510634666,2.0
加纳,2002,7947.415790896545,7878.396318861791,8.0
加蓬,2002,726.3424812695508,480.2252255519586,7.0
匈牙利,2002,33943.742001260216,9222.291456298613,2.0
北马其顿,2002,3616.210252475578,446.7999171017347,2.0
北马里亚纳群岛,2002,44.18004054231229,15.21471525211144,2.0
南苏丹,2002,4383.747940927787,2240.8073312405872,9.0
南非,2002,34493.622383330665,10432.23052229141,4.0
博茨瓦纳,2002,1017.0846632119628,619.2307253923036,4.0
卡塔尔,2002,203.3567033376032,77.78828486496515,2.0
卢旺达,2002,5057.127015465725,2527.1401631965023,10.0
卢森堡公国,2002,1069.1500217084501,187.96614629880438,2.0
印度,2002,490796.2068089357,396122.95663184917,6.0
印度尼西亚,2002,103632.13230424747,106698.87373362308,4.0
危地马拉,2002,7192.192385474188,4948.012876107381,4.0
厄瓜多尔,2002,12241.369818711224,4718.757568744927,2.0
厄立特里亚国,2002,2381.4397112768543,1795.1605414141109,8.0
